attributes.OBJECTID,attributes.id,attributes.name,attributes.max_cap,attributes.type,attributes.lat,attributes.lon,attributes.address,attributes.has_fee,attributes.operator,attributes.max_stay,attributes.capacity_d,attributes.capacity_c,attributes.capacity_s,attributes.capacity_w,attributes.has_light,attributes.descript,attributes.public_url,attributes.park_ride,attributes.has_live,attributes.max_hei,attributes.opening_s,attributes.updated,attributes.real_capa,attributes.real_fcap,geometry.x,geometry.y,time
1,4,Parkhaus LAGO,930,Parkhaus,47.65615688,9.17639495,"Lago Shopping Center, Hafenstraße 31, 78462 Konstanz",ja,Girlan Immobilien GmbH, ,4,4,0,46, ,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107856/Parkhaus.html, ,ja,"1,90 m",ja,1698948005000,930,664,9.176394950451025,47.656156879976834,2023-11-02T18:02:58Z
2,3,Parkhaus Fischmarkt,161,Parkhaus,47.66137161,9.17645279,"Salmannsweilergasse 1, 78462 Konstanz",ja,Parkhaus Fischmarkt Konstanz GmbH, ,0,0,0,0,ja, ,https://www.konstanz.de/site/Konstanz/node/107878/Parkhaus.html, ,ja,"2,05 m",ja,1698948005000,161,90,9.17645278759676,47.66137161093442,2023-11-02T18:02:58Z
3,5,Parkhaus Marktstätte,288,Parkhaus,47.65954045,9.17627984,"Dammgasse 3, 78462 Konstanz",ja,Gateway Parking Management GmbH, ,2,0,0,9,ja, ,https://www.konstanz.de/site/Konstanz/node/107867/Parkhaus.html, ,ja,"1,95 m",ja,1698948005000,288,121,9.176279835755496,47.659540449947436,2023-11-02T18:02:58Z
4,1,Parkhaus Augustiner / Karstadt,288,Tiefgarage,47.65962598,9.17339558,"Bruderturmgasse / Augustinerplatz, 78462 Konstanz",ja,B+B Parkhaus GmbH & Co KG, ,1,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107900/Parkhaus.html, ,ja,"2,05 m",ja,1698948005000,288,128,9.17339558337689,47.6596259802525,2023-11-02T18:02:58Z
5,2,Parkhaus Benediktinerplatz,118,Parkhaus,47.66877251,9.17727692,"Benediktinerplatz 8, 78467 Konstanz",ja,"WOBAK, Städtische Wohnbau GmbH", ,0,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107911/Parkhaus.html, ,ja,"2,05 m",ja,1698948005000,118,71,9.177276917636682,47.6687725091358,2023-11-02T18:02:58Z
6,6,Tiefgarage Seerheincenter,312,Tiefgarage,47.67266707,9.18296264,"Steinstraße 2, 78467 Konstanz",ja,Contipark Unternehmensgruppe,30 Tage,4,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107922/Parkhaus.html, ,ja,"2,00 m",ja,1698948005000,312,130,9.18296264334006,47.672667065585124,2023-11-02T18:02:58Z
7,0,Parkhaus Altstadt,359,Parkhaus,47.66306933,9.17190511,"Untere Laube 26, 78462 Konstanz",ja,Parkhaus Laube Betriebs-GmbH & Co KG, ,0,0,0,0,ja,"hinter Bürgerbüro, Ausfahrt: 24 Stunden möglich",https://www.konstanz.de/site/Konstanz/node/107845/Parkhaus.html, ,ja,"2,05 m",ja,1698948005000,359,124,9.171905106708858,47.663069332571865,2023-11-02T18:02:58Z
8,7,Parkplatz Döbele,335,Parkplatz,47.65791602,9.16860392,"Grenzbachstraee / Zur Laube, 78462 Konstanz",ja,Stadt Konstanz,24 Stunden,0,0,0,0, , ,https://www.konstanz.de/site/Konstanz/node/107889/Parkplatz.html, ,ja, ,ja,1698948005000,335,120,9.168603923278777,47.65791601675095,2023-11-02T18:02:58Z
9,46,Parkplatz Bodenseeforum,227,Parkplatz,47.67331027,9.16394436,"Schänzlebrücke, 78467 Konstanz",ja,Stadt Konstanz,24 Stunden,5,0,0,0, , ,https://www.konstanz.de/site/Konstanz/node/107933/Parkplatz.html,Kombitickets erhältlich,ja, ,ja,1698948005000,227,171,9.163944364653192,47.6733102723403,2023-11-02T18:02:58Z
10,31,Parkhaus Uni Süd,834,Parkhaus,47.68778674,9.18557279,"Universitätsstraße 10, 79464 Konstanz",ja,PBW Parkraumgesellschaft Baden-Württemberg mbH, ,0,1,0,0, , ,"https://www.pbw.de/?menu=parkplatz-finder&profile=kurz-dauer&search=*261%2078464%20Konstanz%20Parkhaus%20S%C3%BCd,%20Universit%C3%A4tsstra%C3%9Fe%2010&anchor=results#!", ,ja,"1,80 m",ja,1698948005000,834,265,9.185572790650744,47.68778673902131,2023-11-02T18:02:58Z
11,30,Parkplatz Uni Nord,350,Parkplatz,47.6907219,9.18351245,"Eggerhaldestraße, 78464 Konstanz",ja,PBW Parkraumgesellschaft Baden-Württemberg mbH, ,0,0,0,0, , ,https://www.pbw.de/?menu=parkplatz-finder&profile=kurz-dauer&search=*263%2078464%20Konstanz%20Parkplatz%20Nord&anchor=results, ,ja,"3,50 m",ja,1698948005000,350,95,9.183512452074197,47.690721896532914,2023-11-02T18:02:58Z
